AOA2	AGE OF APOCALYPSE VOL. 2	2012-2013
AOA:BL	AGE OF APOCALYPSE: BY THE LIGHT	1996
AOA:C	AGE OF APOCALYPSE: CHOSEN	1996
AOA:SB	AGE OF APOCALYPSE: SINISTER BLOODLINES	1997
AOASE	AGE OF APOCALYPSE SPECIAL EDITION	2005
AOD	ARMY OF DARKNESS	2005-2006
AOI	AGE OF INNOCENCE: REBIRTH OF IRON MAN	1996
AOS	AGE OF THE SENTRY	2008-2009
AOU	AGE OF ULTRON	2013
AOX:ALPHA	AGE OF X: ALPHA	2011
APACHE	APACHE SKIES	2002
APACHE KID	APACHE KID	1950
APACHE KID2	APACHE KID VOL. 2	1951-1956
APLUSX	A+X	2012-2014
APRIME	AVENGERS PRIME	2010-2011
ARANA	ARANA: HEART OF THE SPIDER	2005-2006
ARCHANGEL	ARCHANGEL	1996
ARES	ARES	2006
ASG	AMAZING SPIDER-GIRL	2006-2009
ASHEMA	HEROES REBORN: ASHEMA	2000
ASKANISON	ASKANI'SON	1996
ASM	AMAZING SPIDER-MAN	1963-1998, 2003-2014
ASM2	AMAZING SPIDER-MAN VOL. 2	1999-2003
ASM3	AMAZING SPIDER-MAN VOL. 3	2014-
ASM/DDINO	AMAZING SPIDER-MAN/DEVIL DINOSAUR	1998
ASM:ANTIV	AMAZING SPIDER-MAN PRESENTS: ANTI-VENOM	2006-2007
ASM:BIQ	AMAZING SPIDER-MAN: BACK IN QUACK	2010
ASM:ENDS	AMAZING SPIDER-MAN: ENDS OF THE EARTH	2012
ASM:F&E	AMAZING SPIDER-MAN: FRIENDS & ENEMIES	1995
ASM:FI	AMAZING SPIDER-MAN: FEAR ITSELF	2009
ASM:JACKPOT	AMAZING SPIDER-MAN PRESENTS: JACKPOT	2010
ASM:OH	AMAZING SPIDER-MAN: ORIGIN OF THE HUNTER	2010
ASM:SE	AMAZING SPIDER-MAN: SPIRITS OF THE EARTH	1991
ASM:SH	AMAZING SPIDER-MAN: SOUL OF THE HUNTER	1992
ASM:SHORT HALLOWEEN	AMAZING SPIDER-MAN: SHORT HALLOWEEN	2009
ASM:SWING	AMAZING SPIDER-MAN: SWING SHIFT	2008
ASME	AMAZING SPIDER-MAN EXTRA	2008-2009
ASMFAM	AMAZING SPIDER-MAN FAMILY	2008-2009
ASMSS	AMAZING SPIDER-MAN SUPER SPECIAL	1995
